Number,Name,Description,PokemonNumbers
10,Aroma Veil,"Protects allies from attacks that limit their move choices.
Game descriptions

X​/​YO.Ruby​/​A.Sapphire
Protects allies from attacks that limit their move choices.

Sun​/​MoonUltra Sun​/​Ultra Moon
Protects itself and its allies from attacks that limit their move choices.

Sword​/​ShieldB.Diamond​/​S.Pearl
Protects itself and its allies from attacks that limit their move choices.

Scarlet​/​Violet
Protects the Pokémon and its allies from effects that prevent the use of moves.

Other languages




English
Aroma Veil


Japanese
アロマベール (Aroma Veil)


German
Dufthülle


French
Aroma-Voile


Italian
Aromavelo


Spanish
Velo Aroma


Korean
아로마베일


Chinese (Simplified)
芳香幕


Chinese (Traditional)
芳香幕","0915,0916"
11,As One,"Combines Unnerve and Chilling Neigh/Grim Neigh
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
This Ability combines the effects of both Calyrex’s Unnerve Ability and Glastrier’s/Spectrier’s Chilling Neigh/Grim Neigh Ability.

Scarlet​/​Violet
This Ability combines the effects of both Calyrex’s Unnerve Ability and Glastrier’s/Spectrier’s Chilling Neigh/Grim Neigh Ability.

Other languages




English
As One


Japanese
じんばいったい


German
Reitgespann


French
Osmose Équine


Italian
Sintonia Equina


Spanish
Unidad Ecuestre


Korean
혼연일체


Chinese (Simplified)
人马一体


Chinese (Traditional)
人馬一體","0898,0898"
12,Aura Break,"Aura Break cancels the effects of the abilities Fairy Aura and Dark Aura and instead reduces the power of Dark-type and Fairy-type moves by 25%, for all Pokémon on the field.","0718,0718"
13,Bad Dreams,Bad Dreams causes all sleeping opponents to lose 1⁄8 of their maximum HP at the end of each turn.,0491
14,Ball Fetch,"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle.",0835
15,Battery,Battery allows the Pokémon to raise the power of teammates' special moves.,0737
16,Battle Armor,Battle Armor prevents the Pokémon from receiving a critical hit.,"0140,0141,0347,0348,0451,0452,0772,0863,0870"
17,Battle Bond,Battle Bond causes Greninja to transform into Ash-Greninja when it KOs an opponent.,0658
18,Beads of Ruin,"Lowers Special Defense of all Pokémon except itself.
Game descriptions

Scarlet​/​Violet
The power of the Pokémon’s ruinous beads lowers the Sp. Def stats of all Pokémon except itself.

Other languages




English
Beads of Ruin


Japanese
わざわいのたま


German
Unheilsjuwelen


French
Perles du Fléau


Italian
Monile Nefasto


Spanish
Abalorio Debacle


Korean
재앙의구슬


Chinese (Simplified)
灾祸之玉


Chinese (Traditional)
災禍之玉",1004
19,Beast Boost,"The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.
Game descriptions

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.

Scarlet​/​Violet
Boosts the Pokémon’s most proficient stat every time it knocks out a target.

Other languages




English
Beast Boost


Japanese
ビーストブースト (Beast Boost)


German
Bestien-Boost


French
Boost Chimère


Italian
Ultraboost


Spanish
Ultraimpulso


Korean
비스트부스트


Chinese (Simplified)
异兽提升


Chinese (Traditional)
異獸提升","0793,0794,0795,0796,0797,0798,0799,0803,0804,0805,0806"
20,Berserk,Berserk raises the Pokémon's Special Attack by one stage when its HP falls below 50%.,"0146,0780"
21,Big Pecks,"Big Pecks prevents the ability-bearer's Defense stat from being lowered, for example via Tail Whip.","0519,0520,0521,0580,0581,0629,0630,0661,0962"
22,Blaze,Blaze increases the power of Fire-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch).,"0004,0005,0006,0155,0156,0157,0157,0255,0256,0257,0390,0391,0392,0498,0499,0500,0653,0654,0655,0725,0726,0727,0813,0814,0815,0909,0910,0911"
23,Bulletproof,Bulletproof makes the Pokémon immune to ball and bomb moves.,"0782,0783,0784,0901"
24,Cheek Pouch,"Cheek Pouch restores the bearer's HP when a Berry is consumed, on top of the berry's usual effects.","0659,0660,0702,0819,0820,0925,0925"
25,Chilling Neigh,"Boosts Attack after knocking out a Pokémon.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat.

Scarlet​/​Violet
When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat.

Other languages




English
Chilling Neigh


Japanese
しろのいななき


German
Helles Wiehern


French
Blanche Ruade


Italian
Nitrito Bianco


Spanish
Relincho Blanco


Korean
백의울음


Chinese (Simplified)
苍白嘶鸣


Chinese (Traditional)
蒼白嘶鳴",0896
26,Chlorophyll,Chlorophyll doubles the ability-bearer's Speed during bright sunshine.,"0043,0044,0045,0069,0070,0071,0102,0103,0114,0182,0187,0188,0189,0191,0192,0273,0274,0275,0357,0420,0465,0540,0541,0542,0548,0549,0549,0556,0585,0586,0951,0952"
27,Clear Body,"Prevents other Pokémon from lowering its stats.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Prevents ability reduction.

Diamond​/​PearlPlatinum
Prevents the Pokémon’s stats from being lowered.

HeartGold​/​SoulSilver
Prevents its stats from being lowered.

Black​/​WhiteBlack 2​/​White 2
Prevents other Pokémon from lowering its stats.

X​/​YO.Ruby​/​A.Sapphire
Prevents other Pokémon from lowering its stats.

Sun​/​MoonUltra Sun​/​Ultra Moon
Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.

Sword​/​ShieldB.Diamond​/​S.Pearl
Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.

Scarlet​/​Violet
Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.

Other languages




English
Clear Body


Japanese
クリアボディ (Kuria Bodi)


German
Neutraltorso


French
Corps Sain


Italian
Corpochiaro


Spanish
Cuerpo Puro


Korean
클리어바디


Chinese (Simplified)
恒净之躯


Chinese (Traditional)
恆淨之軀","0072,0073,0374,0375,0376,0377,0378,0379,0703,0719,0885,0886,0887"
28,Cloud Nine,"Cloud Nine suppresses all effects brought on by weather, including move power increases, end-of-turn damage, accuracy changes, relevant abilities and so on.","0054,0055"
29,Color Change,"Color Change changes the ability-bearer's type, when hit by a damage dealing move, to the type of that move. For example being hit by X Scissor will change the Pokémon to Bug-type. Dual-type Pokémon change to single-types.",0352
30,Comatose,"Comatose causes the Pokémon to behave as if it were asleep, though it doesn't officially have the Sleep status condition. It can still use its regular moves, but cannot be inflicted with any major status condition (sleep, poison, paralysis, burn, or freeze).",0775
31,Commander,"Goes inside the mouth of an ally Dondozo if one is on the field.
Game descriptions

Scarlet​/​Violet
When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there.

Other languages




English
Commander


Japanese
しれいとう


German
Kommandant


French
Commandant


Italian
Torre di Comando


Spanish
Comandar


Korean
사령탑


Chinese (Simplified)
发号施令


Chinese (Traditional)
發號施令",0978
32,Competitive,Competitive raises the ability-bearer's Special Attack by two stages when hit by a stat-lowering move.,"0039,0040,0144,0174,0350,0574,0575,0576"
33,Compound Eyes,Compound Eyes raises the ability-bearer's accuracy by 30%.,"0012,0048,0193,0290,0595,0596,0664,0666,0824,0825,0953"
34,Contrary,"Makes stat changes have an opposite effect.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
Makes stat changes have an opposite effect.

X​/​YO.Ruby​/​A.Sapphire
Makes stat changes have an opposite effect.

Sun​/​MoonUltra Sun​/​Ultra Moon
Makes stat changes have an opposite effect.

Sword​/​ShieldB.Diamond​/​S.Pearl
Makes stat changes have an opposite effect.

Scarlet​/​Violet
Reverses any stat changes affecting the Pokémon so that attempts to boost its stats instead lower them— and attempts to lower its stats will boost them.

Other languages




English
Contrary


Japanese
あまのじゃく (Ama no Jaku)


German
Umkehrung


French
Contestation


Italian
Inversione


Spanish
Respondón


Korean
심술꾸러기


Chinese (Simplified)
唱反调


Chinese (Traditional)
唱反調","0686,0687"
35,Corrosion,"Corrosion allows the bearer to poison any Pokémon, including Steel and Poison types.","0757,0758"
36,Costar,"Copies ally's stat changes on entering battle.
Game descriptions

Scarlet​/​Violet
When the Pokémon enters a battle, it copies an ally’s stat changes.

Other languages




English
Costar


Japanese
きょうえん


German
Synchronauftritt


French
Collab


Italian
Coprotagonismo


Spanish
Unísono


Korean
협연


Chinese (Simplified)
同台共演


Chinese (Traditional)
同台共演",0973
37,Cotton Down,"When a Pokémon with Cotton Down is hit by an attack, it lowers the attacker's Speed.","0829,0830"
38,Cud Chew,Cud Chew causes the Pokémon to reuse an already consumed Berry at the end of the next turn.,0981
39,Curious Medicine,"Resets all stat changes upon entering battlefield.
Game descriptions

B.Diamond​/​S.Pearl
When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies.

Scarlet​/​Violet
When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies.

Other languages




English
Curious Medicine


Japanese
きみょうなくすり


German
Kuriose Arznei


French
Breuvage Suspect


Italian
Stranofarmaco


Spanish
Medicina Extraña


Korean
기묘한약


Chinese (Simplified)
怪药


Chinese (Traditional)
怪藥",0199
40,Cursed Body,"May disable a move used on the Pokémon.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
May disable a move used on the Pokémon.

X​/​YO.Ruby​/​A.Sapphire
May disable a move used on the Pokémon.

Sun​/​MoonUltra Sun​/​Ultra Moon
May disable a move used on the Pokémon.

Sword​/​ShieldB.Diamond​/​S.Pearl
May disable a move used on the Pokémon.

Scarlet​/​Violet
May disable a move that has dealt damage to the Pokémon.

Other languages




English
Cursed Body


Japanese
のろわれボディ (Noroware Body)


German
Tastfluch


French
Corps Maudit


Italian
Corpofunesto


Spanish
Cuerpo Maldito


Korean
저주받은바디


Chinese (Simplified)
咒术之躯


Chinese (Traditional)
詛咒之軀","0094,0105,0592,0593"
41,Cute Charm,"If a Pokémon with Cute Charm is hit by a move that makes contact, there is a 30% chance the attacker will become infatuated. It will not infatuate Pokémon of the same gender, genderless Pokémon, nor those with the ability Oblivious.","0035,0036,0039,0040,0173,0174,0300,0301,0428,0572,0573,0700,0905"
42,Damp,Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion. It also prevents damage (to the Damp Pokémon only) from the ability Aftermath.,"0054,0055,0060,0061,0062,0186,0194,0195"
43,Dancer,"When another Pokémon on the field uses any Dance move, Dancer causes the ability-bearer to use that same move immediately afterward. They will still use their own move originally selected, at the usual time (e.g. after the opponent if they are slower).","0741,0741,0741,0741"
44,Dark Aura,Dark Aura raises the power of Dark-type moves by 33% for all Pokémon on the field (not just the ability-bearer).,0717
45,Dauntless Shield,"Boosts Defense in battle.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
Boosts the Pokémon’s Defense stat when the Pokémon enters a battle.

Scarlet​/​Violet
Boosts the Pokémon’s Defense stat the first time the Pokémon enters a battle.

Other languages




English
Dauntless Shield


Japanese
ふくつのたて


German
Wackerer Schild


French
Égide Inflexible


Italian
Scudo Saldo


Spanish
Escudo Recio


Korean
불굴의방패


Chinese (Simplified)
不屈之盾


Chinese (Traditional)
不屈之盾","0889,0889"
46,Dazzling,Dazzling makes the Pokémon immune to high-priority moves (i.e. those with a priority above 0).,0779
47,Defeatist,"When the HP of a Pokémon with Defeatist falls below 50%, its Attack and Special Attack stats are halved.","0566,0567"
48,Defiant,Defiant raises the ability-bearer's Attack by two stages when hit by a stat-lowering move.,"0145,0624,0625,0983,1017"
49,Delta Stream,Delta Stream creates strong winds when the ability is activated (by Rayquaza Mega-Evolving).,0384
50,Desolate Land,Desolate Land creates extremely harsh sunlight when the ability is activated (by Groudon reverting to its Primal form).,0383
51,Disguise,"Disguise allows the bearer to avoid damage for one attack, in a similar way to Substitute.",0778
52,Download,"Download raises either the bearer's Attack or Special Attack by one stage when switching into battle, base on the opponent's defenses.","0137,0233,0474,0649"
53,Dragon's Maw,Dragon's Maw increases the power of Dragon-type moves used by this Pokémon by 50%.,0895
54,Drizzle,"Drizzle creates a rain shower when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition.","0279,0382"
55,Drought,"Drought creates harsh sunlight when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition.","0006,0324,0383"
56,Dry Skin,Dry Skin causes several effects:,"0046,0047,0453,0454,0694,0695"
57,Early Bird,"The Pokémon awakens quickly from sleep.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Awakens quickly from sleep.

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
The Pokémon awakens quickly from sleep.

Black​/​WhiteBlack 2​/​White 2
The Pokémon awakens quickly from sleep.

X​/​YO.Ruby​/​A.Sapphire
The Pokémon awakens quickly from sleep.

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon awakens twice as fast as other Pokémon from sleep.

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon awakens from sleep twice as fast as other Pokémon.

Scarlet​/​Violet
The Pokémon awakens from sleep twice as fast as other Pokémon.

Other languages




English
Early Bird


Japanese
はやおき (Hayaoki)


German
Frühwecker


French
Matinal


Italian
Sveglialampo


Spanish
Madrugar


Korean
일찍기상


Chinese (Simplified)
早起


Chinese (Traditional)
早起","0084,0085,0115,0165,0166,0177,0178,0203,0228,0229,0273,0274,0275,0928,0929"
58,Earth Eater,"Restores HP when hit by a Ground-type move.
Game descriptions

Scarlet​/​Violet
If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage.

Other languages




English
Earth Eater


Japanese
どしょく


German
Bodenschmaus


French
Absorbe-Terre


Italian
Mangiaterra


Spanish
Geofagia


Korean
흙먹기


Chinese (Simplified)
食土


Chinese (Traditional)
食土",0968
59,Effect Spore,"Contact may poison or cause paralysis or sleep.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Leaves spores on contact.

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Contact may paralyze, poison, or cause sleep.

Black​/​WhiteBlack 2​/​White 2
Contact may poison or cause paralysis or sleep.

X​/​YO.Ruby​/​A.Sapphire
Contact may poison or cause paralysis or sleep.

Sun​/​MoonUltra Sun​/​Ultra Moon
Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.

Sword​/​ShieldB.Diamond​/​S.Pearl
Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.

Scarlet​/​Violet
Contact with the Pokémon may inflict poison, sleep, or paralysis on the attacker.

Other languages




English
Effect Spore


Japanese
ほうし (Hōshi)


German
Sporenwirt


French
Pose Spore


Italian
Spargispora


Spanish
Efecto Espora


Korean
포자


Chinese (Simplified)
孢子


Chinese (Traditional)
孢子","0046,0047,0285,0286,0590,0591,0755,0756"
60,Electric Surge,"Electric Surge creates a low-lying electric field, like the move Electric Terrain, when the Pokémon enters battle. It prevents grounded Pokémon from falling asleep, and increases the power of Electric type attacks.",0785
61,Electromorphosis,"If a Pokémon with Electromorphosis is hit by an attack, the power of the next Electric-type move it uses is doubled.",0939
62,Embody Aspect,"Embody Aspect boosts a particular stat, depending on the form of Ogrepon:",
63,Emergency Exit,"Switches out when HP falls below 50%.
Game descriptions

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon, sensing danger, switches out when its HP becomes half or less.

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon, sensing danger, switches out when its HP becomes half or less.

Scarlet​/​Violet
The Pokémon, sensing danger, switches out when its HP drops to half or less.

Other languages




English
Emergency Exit


Japanese
ききかいひ (Kiki Kaihi)


German
Rückzug


French
Repli Tactique


Italian
Passoindietro


Spanish
Retirada


Korean
위기회피


Chinese (Simplified)
危险回避


Chinese (Traditional)
危險迴避",0768
64,Fairy Aura,"Fairy Aura raises the power of Fairy-type moves by 33%, for all Pokémon on the field (not just the ability-bearer).",0716
65,Filter,Filter reduces the damage taken from super-effective attacks by 25%.,"0122,0306,0439"
66,Flame Body,"If a Pokémon with Flame Body is hit by a move that makes contact, there is a 30% chance the attacker will become burned.","0126,0218,0219,0240,0467,0607,0608,0609,0636,0637,0662,0663,0838,0839"
67,Flare Boost,"Powers up special attacks when burned.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
Powers up special attacks when burned.

X​/​YO.Ruby​/​A.Sapphire
Powers up special attacks when the Pokémon is burned.

Sun​/​MoonUltra Sun​/​Ultra Moon
Powers up special attacks when the Pokémon is burned.

Sword​/​ShieldB.Diamond​/​S.Pearl
Powers up special attacks when the Pokémon is burned.

Scarlet​/​Violet
Powers up special moves when the Pokémon is burned.

Other languages




English
Flare Boost


Japanese
ねつぼうそう (Netsu Bōsō)


German
Hitzewahn


French
Rage Brûlure


Italian
Bruciaimpeto


Spanish
Ímpetu Ardiente


Korean
열폭주


Chinese (Simplified)
受热激升


Chinese (Traditional)
受熱激升","0425,0426"
68,Flash Fire,"When a Pokémon with Flash Fire is hit by a Fire-type move, it does not deal damage but instead raises the power of the bearer's Fire-type moves by 50%. Subsequent hits do not raise the power even more, but the effect remains while the ability-bearer is in battle.","0037,0038,0058,0058,0059,0059,0077,0078,0136,0228,0229,0485,0607,0608,0609,0631,0850,0851,0935,0936,0937"
69,Flower Gift,Flower Gift raises the Attack and Special Defense of all party Pokémon by 50% during harsh sunlight.,0421
70,Flower Veil,"Flower Veil prevents ally Grass-type Pokémon's stats from being lowered, in double and triple battles.","0669,0670,0671,0764"
71,Fluffy,"Fluffy reduces damage from contact moves by 50%, but Fire-type moves do double damage. Fire-type moves that make contact do regular damage.","0759,0760,0831,0832"
72,Forecast,"Castform transforms with the weather.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Changes with the weather.

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
CASTFORM transforms with the weather.

Black​/​WhiteBlack 2​/​White 2
Castform transforms with the weather.

X​/​YO.Ruby​/​A.Sapphire
Castform transforms with the weather.

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon transforms with the weather to change its type to Water, Fire, or Ice.

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon transforms with the weather to change its type to Water, Fire, or Ice.

Scarlet​/​Violet
The Pokémon transforms with the weather to change its type to Water, Fire, or Ice.

Other languages




English
Forecast


Japanese
てんきや (Tenkiya)


German
Prognose


French
Météo


Italian
Previsioni


Spanish
Predicción


Korean
기분파


Chinese (Simplified)
阴晴不定


Chinese (Traditional)
陰晴不定","0351,0351,0351,0351"
73,Forewarn,"Determines what moves a foe has.
Game descriptions

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Determines what moves the foe has.

Black​/​WhiteBlack 2​/​White 2
Determines what moves a foe has.

X​/​YO.Ruby​/​A.Sapphire
Determines what moves an opposing Pokémon has.

Sun​/​MoonUltra Sun​/​Ultra Moon
When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has.

Sword​/​ShieldB.Diamond​/​S.Pearl
When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has.

Scarlet​/​Violet
When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has.

Other languages




English
Forewarn


Japanese
よちむ (Yochimu)


German
Vorwarnung


French
Prédiction


Italian
Premonizione


Spanish
Alerta


Korean
예지몽


Chinese (Simplified)
预知梦


Chinese (Traditional)
預知夢","0096,0097,0124,0238,0517,0518"
74,Friend Guard,"Reduces damage done to allies.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
Reduces damage done to allies.

X​/​YO.Ruby​/​A.Sapphire
Reduces damage done to allies.

Sun​/​MoonUltra Sun​/​Ultra Moon
Reduces damage done to allies.

Sword​/​ShieldB.Diamond​/​S.Pearl
Reduces damage done to allies.

Scarlet​/​Violet
Reduces damage dealt to allies.

Other languages




English
Friend Guard


Japanese
フレンドガード (Friend Guard)


German
Freundeshut


French
Garde Amie


Italian
Amicoscudo


Spanish
Compiescolta


Korean
프렌드가드


Chinese (Simplified)
友情防守


Chinese (Traditional)
友情防守","0925,0925"
75,Frisk,"The Pokémon can check a foe's held item.
Game descriptions

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
The Pokémon can check the foe’s held item.

Black​/​WhiteBlack 2​/​White 2
The Pokémon can check a foe’s held item.

X​/​YO.Ruby​/​A.Sapphire
The Pokémon can check an opposing Pokémon’s held item.

Sun​/​MoonUltra Sun​/​Ultra Moon
When it enters a battle, the Pokémon can check an opposing Pokémon’s held item.

Sword​/​ShieldB.Diamond​/​S.Pearl
When it enters a battle, the Pokémon can check an opposing Pokémon’s held item.

Scarlet​/​Violet
When it enters a battle, the Pokémon can check an opposing Pokémon’s held item.

Other languages




English
Frisk


Japanese
おみとおし (Omitooshi)


German
Schnüffler


French
Fouille


Italian
Indagine


Spanish
Cacheo


Korean
통찰


Chinese (Simplified)
察觉


Chinese (Traditional)
察覺","0103,0234,0353,0354,0574,0575,0576,0708,0709,0710,0710,0710,0710,0711,0711,0711,0711,0714,0715,0826,0859,0860,0861,0899,0955,0956"
76,Full Metal Body,"Prevents other Pokémon from lowering its stats.
Game descriptions

Sun​/​MoonUltra Sun​/​Ultra Moon
Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.

Sword​/​ShieldB.Diamond​/​S.Pearl
Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.

Scarlet​/​Violet
Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.

Other languages




English
Full Metal Body


Japanese
メタルプロテクト (Metal Protect)


German
Metallprotektor


French
Métallo-Garde


Italian
Metalprotezione


Spanish
Guardia Metálica


Korean
메탈프로텍트


Chinese (Simplified)
金属防护


Chinese (Traditional)
金屬防護",0791
77,Fur Coat,Fur Coat reduces damage taken from physical attacks by 50%.,"0053,0676"
78,Gale Wings,"Gives priority to Flying-type moves.
Game descriptions

X​/​YO.Ruby​/​A.Sapphire
Gives priority to Flying-type moves.

Sun​/​MoonUltra Sun​/​Ultra Moon
Gives priority to Flying-type moves when the Pokémon’s HP is full.

Sword​/​ShieldB.Diamond​/​S.Pearl
Gives priority to Flying-type moves when the Pokémon’s HP is full.

Scarlet​/​Violet
Gives priority to the Pokémon’s Flying-type moves while its HP is full.

Other languages




English
Gale Wings


Japanese
はやてのつばさ (Hayate no Tsubasa)


German
Orkanschwingen


French
Ailes Bourrasque


Italian
Aliraffica


Spanish
Alas Vendaval


Korean
질풍날개


Chinese (Simplified)
疾风之翼


Chinese (Traditional)
疾風之翼","0661,0662,0663"
79,Galvanize,"Normal-type moves become Electric-type moves and their power boosted.
Game descriptions

Sun​/​MoonUltra Sun​/​Ultra Moon
Normal-type moves become Electric-type moves. The power of those moves is boosted a little.

Sword​/​ShieldB.Diamond​/​S.Pearl
Normal-type moves become Electric-type moves. The power of those moves is boosted a little.

Scarlet​/​Violet
Normal-type moves become Electric-type moves. The power of those moves is boosted a little.

Other languages




English
Galvanize


Japanese
エレキスキン (Electric Skin)


German
Elektrohaut


French
Peau Électrique


Italian
Pellelettro


Spanish
Piel Eléctrica


Korean
일렉트릭스킨


Chinese (Simplified)
电气皮肤


Chinese (Traditional)
電氣皮膚","0074,0075,0076"
80,Gluttony,"A Pokémon with Gluttony will use a pinch berry when its HP drops to 50%, rather than the usual 25%.","0019,0020,0079,0088,0089,0213,0263,0263,0264,0264,0511,0512,0513,0514,0515,0516,0631,0840,0841,0842,0915,0916,0916,1011"
81,Good as Gold,"Gives immunity to status moves.
Game descriptions

Scarlet​/​Violet
A body of pure, solid gold gives the Pokémon full immunity to other Pokémon’s status moves.

Other languages




English
Good as Gold


Japanese
おうごんのからだ


German
Goldkörper


French
Corps en Or


Italian
Corpo Aureo


Spanish
Cuerpo Áureo


Korean
황금몸


Chinese (Simplified)
黄金之躯


Chinese (Traditional)
黃金之軀",1000
82,Gooey,"Contact with the Pokémon lowers the attacker's Speed stat.
Game descriptions

X​/​YO.Ruby​/​A.Sapphire
Contact with the Pokémon lowers the attacker’s Speed stat.

Sun​/​MoonUltra Sun​/​Ultra Moon
Contact with the Pokémon lowers the attacker’s Speed stat.

Sword​/​ShieldB.Diamond​/​S.Pearl
Contact with the Pokémon lowers the attacker’s Speed stat.

Scarlet​/​Violet
Contact with the Pokémon lowers the attacker’s Speed stat.

Other languages




English
Gooey


Japanese
ぬめぬめ (Numenume)


German
Viskosität


French
Poisseux


Italian
Viscosità


Spanish
Baba


Korean
미끈미끈


Chinese (Simplified)
黏滑


Chinese (Traditional)
黏滑","0960,0961"
83,Gorilla Tactics,"Boosts the Pokémon's Attack stat but only allows the use of the first selected move.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
Boosts the Pokémon’s Attack stat but only allows the use of the first selected move.

Scarlet​/​Violet
Boosts the Pokémon’s Attack stat but only allows the use of the first selected move.

Other languages




English
Gorilla Tactics


Japanese
ごりむちゅう


German
Affenfokus


French
Entêtement


Italian
Vigorilla


Spanish
Monotema


Korean
무아지경


Chinese (Simplified)
一猩一意


Chinese (Traditional)
一猩一意","0555,0555"
84,Grass Pelt,"Boosts the Defense stat in Grassy Terrain.
Game descriptions

X​/​YO.Ruby​/​A.Sapphire
Boosts the Defense stat in Grassy Terrain.

Sun​/​MoonUltra Sun​/​Ultra Moon
Boosts the Pokémon’s Defense stat in Grassy Terrain.

Sword​/​ShieldB.Diamond​/​S.Pearl
Boosts the Pokémon’s Defense stat on Grassy Terrain.

Scarlet​/​Violet
Boosts the Pokémon’s Defense stat on Grassy Terrain.

Other languages




English
Grass Pelt


Japanese
くさのけがわ (Grass Pelt)


German
Pflanzenpelz


French
Toison Herbue


Italian
Peloderba


Spanish
Manto Frondoso


Korean
풀모피


Chinese (Simplified)
草之毛皮


Chinese (Traditional)
草之毛皮","0672,0673"
